statenum,casenum,vnumber,crashtype,dridistract,dridistract,driavoidmanvr,drivisobs
,,,,,,,
48,1,1,86,0,0,98,0
48,1,2,87,0,0,98,0
48,1,3,98,0,0,0,0
48,2,1,6,0,0,98,0
48,3,1,1,0,0,98,0
48,4,1,50,93,93,98,0
48,4,2,51,0,0,98,0
48,5,1,1,0,0,98,0
48,6,1,13,0,0,98,0
48,7,1,1,0,0,98,0
48,8,1,1,0,0,98,0
48,9,1,7,0,0,98,0
48,10,1,98,0,0,98,0
48,11,1,13,0,0,98,0
48,12,1,89,0,0,98,0
48,12,2,88,0,0,98,0
48,13,1,13,0,0,98,0
48,14,1,13,0,0,0,0
48,15,1,1,0,0,98,0
48,16,1,2,0,0,98,0
48,17,1,1,0,0,98,0
48,18,1,6,0,0,98,0
48,19,1,7,93,93,98,0
48,20,1,50,0,0,98,0
48,20,2,51,0,0,98,0
48,21,1,7,0,0,0,0
48,22,1,1,0,0,98,0
48,23,1,64,0,0,98,0
48,23,2,65,0,0,98,0
48,24,1,64,0,0,98,0
48,24,2,65,0,0,98,0
48,25,1,13,0,0,98,6
48,26,1,24,0,0,98,0
48,26,2,25,0,0,98,0
48,27,1,6,0,0,98,0
48,28,1,13,0,0,98,0
48,29,1,82,0,0,98,0
48,29,2,83,0,0,98,0
48,30,1,13,0,0,98,0
48,31,1,13,93,93,98,0
48,32,1,88,0,0,98,0
48,32,2,89,0,0,98,0
48,33,1,13,0,0,98,0
48,34,1,20,93,93,98,2
48,34,2,22,0,0,0,0
48,34,3,98,0,0,98,0
48,35,1,13,0,0,0,0
48,36,1,13,99,99,99,99
48,37,1,68,0,0,98,0
48,37,2,69,0,0,98,0
48,38,1,7,0,0,98,0
48,40,1,1,93,93,98,0
48,41,1,6,0,0,98,0
48,42,1,13,0,0,0,0
48,43,1,98,0,0,0,0
48,43,2,98,0,0,98,0
48,44,1,2,0,0,98,0
48,45,1,73,0,0,4,0
48,45,2,72,0,0,98,0
48,46,1,92,0,0,98,0
48,47,1,98,0,0,98,0
48,47,2,98,0,0,98,0
48,47,3,98,0,0,0,0
48,48,1,87,0,0,98,0
48,48,2,86,0,0,0,0
48,49,1,6,0,0,98,0
48,50,1,1,0,0,92,0
48,51,1,6,0,0,98,0
48,52,1,48,0,0,0,0
48,52,2,48,0,0,0,0
48,53,1,68,0,0,98,0
48,53,2,69,0,0,98,0
48,54,1,1,0,0,98,0
48,55,1,52,0,0,4,0
48,55,2,52,0,0,4,0
48,56,1,88,0,0,98,0
48,56,2,89,0,0,98,0
48,57,1,13,99,99,99,0
48,58,1,52,0,0,98,0
48,58,2,52,0,0,98,0
48,59,1,68,93,93,98,0
48,59,2,69,0,0,98,0
48,60,1,66,0,0,98,0
48,60,2,66,0,0,4,0
48,61,1,13,0,0,0,0
48,62,1,2,0,0,98,0
48,63,1,88,0,0,98,0
48,63,2,89,0,0,98,0
48,64,1,69,0,0,98,0
48,64,2,68,0,0,98,0
48,65,1,1,0,0,98,0
48,66,1,1,0,0,98,0
48,67,1,1,93,93,98,0
48,68,1,7,0,0,92,0
48,69,1,7,12,12,98,0
48,70,1,13,0,0,5,0
48,71,1,13,0,0,98,0
48,73,1,13,0,0,98,0
48,74,1,50,0,0,98,0
48,74,2,51,0,0,98,0
48,75,1,13,0,0,98,0
48,76,1,89,93,93,98,0
48,76,2,88,0,0,98,0
48,76,3,98,0,0,98,0
48,77,1,13,0,0,98,0
48,78,1,13,0,0,98,0
48,79,1,13,0,0,98,0
48,80,1,1,0,0,98,0
48,81,1,13,0,0,5,0
48,82,1,20,0,0,98,0
48,82,2,21,0,0,0,0
48,82,3,98,0,0,0,0
48,83,1,6,3,3,98,0
48,84,1,13,0,0,5,0
48,85,1,32,0,0,98,2
48,85,2,32,0,0,0,0
48,86,1,13,0,0,98,0
48,86,2,98,0,0,98,0
48,87,1,1,0,0,98,0
48,88,1,13,93,93,98,0
48,89,1,86,0,0,98,0
48,89,2,87,0,0,98,0
48,90,1,2,93,93,98,0
48,91,1,12,0,0,98,0
48,92,1,87,93,93,98,0
48,92,2,86,0,0,98,0
48,93,1,6,0,0,98,0
48,94,1,13,99,99,99,99
48,95,1,13,0,0,98,0
48,96,1,50,0,0,98,0
48,96,2,51,0,0,98,0
48,97,1,7,0,0,98,0
48,98,1,32,0,0,98,0
48,98,2,32,0,0,98,0
48,99,1,6,0,0,98,0
48,100,1,11,0,0,92,0
48,101,1,1,0,0,98,0
48,102,1,13,93,93,98,0
48,103,1,52,0,0,4,0
48,103,2,52,0,0,4,0
48,104,1,64,0,0,98,0
48,104,2,65,0,0,98,0
48,105,1,98,0,0,98,0
48,106,1,50,0,0,98,0
48,106,2,51,0,0,98,0
48,107,1,89,0,0,98,0
48,107,2,88,0,0,98,0
48,107,3,98,0,0,98,0
48,108,1,14,0,0,98,0
48,109,1,6,0,0,98,0
48,110,1,6,0,0,98,0
48,111,1,13,0,0,98,0
48,112,1,82,93,93,98,0
48,112,2,83,0,0,98,0
48,113,1,66,0,0,4,0
48,113,2,66,0,0,98,0
48,114,1,2,0,0,98,0
48,115,1,66,0,0,98,0
48,115,2,66,0,0,4,0
48,115,3,98,0,0,98,0
48,116,1,1,0,0,98,0
48,117,1,66,0,0,92,0
48,117,2,66,0,0,98,0
48,118,1,13,0,0,98,0
48,119,1,11,0,0,98,0
48,120,1,22,0,0,0,0
48,120,2,20,0,0,0,0
48,121,1,98,10,10,4,0
48,121,2,98,0,0,98,0
48,122,1,87,0,0,98,0
48,122,2,86,0,0,98,0
48,122,3,98,0,0,98,0
48,123,1,7,0,0,98,0
48,124,1,7,0,0,98,0
48,125,1,13,0,0,98,0
48,126,1,14,0,0,98,0
48,127,1,32,16,16,95,95
48,127,2,32,0,0,4,0
48,128,1,98,0,0,98,0
48,129,1,68,0,0,98,0
48,129,2,69,0,0,98,0
48,130,1,52,99,99,99,99
48,130,2,52,0,0,0,0
48,131,1,7,0,0,98,0
48,132,1,13,0,0,98,0
48,133,1,50,6,6,98,0
48,133,2,51,0,0,98,0
48,134,1,50,0,0,98,0
48,134,2,51,0,0,98,0
48,135,1,89,0,0,98,0
48,135,2,88,0,0,98,0
48,136,1,69,0,0,98,0
48,136,2,68,0,0,98,0
48,137,1,25,0,0,98,0
48,137,2,24,0,0,0,0
48,138,1,46,0,0,98,0
48,138,2,45,0,0,98,0
48,138,3,98,0,0,98,0
48,139,1,88,0,0,98,0
48,139,2,89,93,93,98,0
48,140,1,1,0,0,98,0
48,141,1,6,0,0,98,0
48,142,1,25,0,0,98,0
48,142,2,24,0,0,98,0
48,143,1,2,0,0,98,0
48,144,1,11,0,0,98,0
48,145,1,13,0,0,5,0
48,146,1,1,0,0,98,0
48,147,1,1,0,0,98,0
48,148,1,1,0,0,98,0
48,149,1,1,0,0,98,0
48,150,1,1,0,0,98,0
48,151,1,1,93,93,98,0
48,152,1,1,0,0,0,0
48,153,1,6,0,0,98,0
48,154,1,13,0,0,0,0
48,155,1,98,0,0,98,0
48,156,1,13,0,0,98,0
48,157,1,52,93,93,98,0
48,157,2,52,0,0,98,0
48,159,1,13,0,0,5,0
48,159,2,98,0,0,4,0
