,State Name,ID,CaseNo,VehicleNo,CrashType,First Distraction,Second Distraction,Driver Action
1,Texas,10001,1,1,Striking From The Right,Not Distracted,Not Distracted,Not Reported
2,Texas,10002,1,2,Struck On The Right,Not Distracted,Not Distracted,Not Reported
3,Texas,10003,1,3,Other Crash Type,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
4,Texas,20001,2,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
5,Texas,30001,3,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
6,Texas,40001,4,1,Lateral Move (Left/Right),"Inattention (Inattentive), Details Unknown","Inattention (Inattentive), Details Unknown",Not Reported
7,Texas,40002,4,2,Lateral Move (Going Straight),Not Distracted,Not Distracted,Not Reported
8,Texas,50001,5,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
9,Texas,60001,6,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
10,Texas,70001,7,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
11,Texas,80001,8,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
12,Texas,90001,9,1,Control/Traction Loss,Not Distracted,Not Distracted,Not Reported
13,Texas,100001,10,1,Other Crash Type,Not Distracted,Not Distracted,Not Reported
14,Texas,110001,11,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
15,Texas,120001,12,1,Struck On The Left,Not Distracted,Not Distracted,Not Reported
16,Texas,120002,12,2,Striking From The Left,Not Distracted,Not Distracted,Not Reported
17,Texas,130001,13,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
18,Texas,140001,14,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
19,Texas,150001,15,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
20,Texas,160001,16,1,Control/Traction Loss,Not Distracted,Not Distracted,Not Reported
21,Texas,170001,17,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
22,Texas,180001,18,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
23,Texas,190001,19,1,Control/Traction Loss,"Inattention (Inattentive), Details Unknown","Inattention (Inattentive), Details Unknown",Not Reported
24,Texas,200001,20,1,Lateral Move (Left/Right),Not Distracted,Not Distracted,Not Reported
25,Texas,200002,20,2,Lateral Move (Going Straight),Not Distracted,Not Distracted,Not Reported
26,Texas,210001,21,1,Control/Traction Loss,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
27,Texas,220001,22,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
28,Texas,230001,23,1,Lateral Move (Left/Right),Not Distracted,Not Distracted,Not Reported
29,Texas,230002,23,2,Lateral Move (Going Straight),Not Distracted,Not Distracted,Not Reported
30,Texas,240001,24,1,Lateral Move (Left/Right),Not Distracted,Not Distracted,Not Reported
31,Texas,240002,24,2,Lateral Move (Going Straight),Not Distracted,Not Distracted,Not Reported
32,Texas,250001,25,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
33,Texas,260001,26,1,Slower,Not Distracted,Not Distracted,Not Reported
34,Texas,260002,26,2,"Slower, Going Straight",Not Distracted,Not Distracted,Not Reported
35,Texas,270001,27,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
36,Texas,280001,28,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
37,Texas,290001,29,1,Turn Into Opposite Directions (Turning Left),Not Distracted,Not Distracted,Not Reported
38,Texas,290002,29,2,Turn Into Opposite Directions (Going Straight),Not Distracted,Not Distracted,Not Reported
39,Texas,300001,30,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
40,Texas,310001,31,1,Pedestrian/ Animal,"Inattention (Inattentive), Details Unknown","Inattention (Inattentive), Details Unknown",Not Reported
41,Texas,320001,32,1,Striking From The Left,Not Distracted,Not Distracted,Not Reported
42,Texas,320002,32,2,Struck On The Left,Not Distracted,Not Distracted,Not Reported
43,Texas,330001,33,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
44,Texas,340001,34,1,Stopped,"Inattention (Inattentive), Details Unknown","Inattention (Inattentive), Details Unknown",Not Reported
45,Texas,340002,34,2,"Stopped, Left",Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
46,Texas,340003,34,3,Other Crash Type,Not Distracted,Not Distracted,Not Reported
47,Texas,350001,35,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
48,Texas,360001,36,1,Pedestrian/ Animal,Unknown If Distracted,Unknown If Distracted,Unknown
49,Texas,370001,37,1,Initial Opposite Directions (Left/Right),Not Distracted,Not Distracted,Not Reported
50,Texas,370002,37,2,Initial Opposite Directions (Going Straight),Not Distracted,Not Distracted,Not Reported
51,Texas,380001,38,1,Control/Traction Loss,Not Distracted,Not Distracted,Not Reported
52,Texas,400001,40,1,Drive Off Road,"Inattention (Inattentive), Details Unknown","Inattention (Inattentive), Details Unknown",Not Reported
53,Texas,410001,41,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
54,Texas,420001,42,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
55,Texas,430001,43,1,Other Crash Type,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
56,Texas,430002,43,2,Other Crash Type,Not Distracted,Not Distracted,Not Reported
57,Texas,440001,44,1,Control/Traction Loss,Not Distracted,Not Distracted,Not Reported
58,Texas,450001,45,1,Initial Same Directions (Going Straight),Not Distracted,Not Distracted,Motor Vehicle
59,Texas,450002,45,2,Initial Same Directions (Turning Left),Not Distracted,Not Distracted,Not Reported
60,Texas,460001,46,1,Backing Veh.,Not Distracted,Not Distracted,Not Reported
61,Texas,470001,47,1,Other Crash Type,Not Distracted,Not Distracted,Not Reported
62,Texas,470002,47,2,Other Crash Type,Not Distracted,Not Distracted,Not Reported
63,Texas,470003,47,3,Other Crash Type,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
64,Texas,480001,48,1,Struck On The Right,Not Distracted,Not Distracted,Not Reported
65,Texas,480002,48,2,Striking From The Right,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
66,Texas,490001,49,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
67,Texas,500001,50,1,Drive Off Road,Not Distracted,Not Distracted,Phantom/Non-Contact Motor Vehicle
68,Texas,510001,51,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
69,Texas,520001,52,1,Specifics Other,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
70,Texas,520002,52,2,Specifics Other,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
71,Texas,530001,53,1,Initial Opposite Directions (Left/Right),Not Distracted,Not Distracted,Not Reported
72,Texas,530002,53,2,Initial Opposite Directions (Going Straight),Not Distracted,Not Distracted,Not Reported
73,Texas,540001,54,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
74,Texas,550001,55,1,Specifics Other,Not Distracted,Not Distracted,Motor Vehicle
75,Texas,550002,55,2,Specifics Other,Not Distracted,Not Distracted,Motor Vehicle
76,Texas,560001,56,1,Striking From The Left,Not Distracted,Not Distracted,Not Reported
77,Texas,560002,56,2,Struck On The Left,Not Distracted,Not Distracted,Not Reported
78,Texas,570001,57,1,Pedestrian/ Animal,Unknown If Distracted,Unknown If Distracted,Unknown
79,Texas,580001,58,1,Specifics Other,Not Distracted,Not Distracted,Not Reported
80,Texas,580002,58,2,Specifics Other,Not Distracted,Not Distracted,Not Reported
81,Texas,590001,59,1,Initial Opposite Directions (Left/Right),"Inattention (Inattentive), Details Unknown","Inattention (Inattentive), Details Unknown",Not Reported
82,Texas,590002,59,2,Initial Opposite Directions (Going Straight),Not Distracted,Not Distracted,Not Reported
83,Texas,600001,60,1,Specifics Other,Not Distracted,Not Distracted,Not Reported
84,Texas,600002,60,2,Specifics Other,Not Distracted,Not Distracted,Motor Vehicle
85,Texas,610001,61,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
86,Texas,620001,62,1,Control/Traction Loss,Not Distracted,Not Distracted,Not Reported
87,Texas,630001,63,1,Striking From The Left,Not Distracted,Not Distracted,Not Reported
88,Texas,630002,63,2,Struck On The Left,Not Distracted,Not Distracted,Not Reported
89,Texas,640001,64,1,Initial Opposite Directions (Going Straight),Not Distracted,Not Distracted,Not Reported
90,Texas,640002,64,2,Initial Opposite Directions (Left/Right),Not Distracted,Not Distracted,Not Reported
91,Texas,650001,65,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
92,Texas,660001,66,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
93,Texas,670001,67,1,Drive Off Road,"Inattention (Inattentive), Details Unknown","Inattention (Inattentive), Details Unknown",Not Reported
94,Texas,680001,68,1,Control/Traction Loss,Not Distracted,Not Distracted,Phantom/Non-Contact Motor Vehicle
95,Texas,690001,69,1,Control/Traction Loss,"Distracted By Outside Person, Object Or Event","Distracted By Outside Person, Object Or Event",Not Reported
96,Texas,700001,70,1,Pedestrian/ Animal,Not Distracted,Not Distracted,"Pedestrian, Pedalcyclist Or Other Non-Motorist"
97,Texas,710001,71,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
98,Texas,730001,73,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
99,Texas,740001,74,1,Lateral Move (Left/Right),Not Distracted,Not Distracted,Not Reported
100,Texas,740002,74,2,Lateral Move (Going Straight),Not Distracted,Not Distracted,Not Reported
101,Texas,750001,75,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
102,Texas,760001,76,1,Struck On The Left,"Inattention (Inattentive), Details Unknown","Inattention (Inattentive), Details Unknown",Not Reported
103,Texas,760002,76,2,Striking From The Left,Not Distracted,Not Distracted,Not Reported
104,Texas,760003,76,3,Other Crash Type,Not Distracted,Not Distracted,Not Reported
105,Texas,770001,77,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
106,Texas,780001,78,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
107,Texas,790001,79,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
108,Texas,800001,80,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
109,Texas,810001,81,1,Pedestrian/ Animal,Not Distracted,Not Distracted,"Pedestrian, Pedalcyclist Or Other Non-Motorist"
110,Texas,820001,82,1,Stopped,Not Distracted,Not Distracted,Not Reported
111,Texas,820002,82,2,"Stopped, Straight",Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
112,Texas,820003,82,3,Other Crash Type,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
113,Texas,830001,83,1,Drive Off Road,By Other Occupant(s),By Other Occupant(s),Not Reported
114,Texas,840001,84,1,Pedestrian/ Animal,Not Distracted,Not Distracted,"Pedestrian, Pedalcyclist Or Other Non-Motorist"
115,Texas,850001,85,1,Specifics Other,Not Distracted,Not Distracted,Not Reported
116,Texas,850002,85,2,Specifics Other,Not Distracted,Not Distracted,Driver Did Not Maneuver To Avoid
117,Texas,860001,86,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
118,Texas,860002,86,2,Other Crash Type,Not Distracted,Not Distracted,Not Reported
119,Texas,870001,87,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
120,Texas,880001,88,1,Pedestrian/ Animal,"Inattention (Inattentive), Details Unknown","Inattention (Inattentive), Details Unknown",Not Reported
121,Texas,890001,89,1,Striking From The Right,Not Distracted,Not Distracted,Not Reported
122,Texas,890002,89,2,Struck On The Right,Not Distracted,Not Distracted,Not Reported
123,Texas,900001,90,1,Control/Traction Loss,"Inattention (Inattentive), Details Unknown","Inattention (Inattentive), Details Unknown",Not Reported
124,Texas,910001,91,1,Sta. Object,Not Distracted,Not Distracted,Not Reported
125,Texas,920001,92,1,Struck On The Right,"Inattention (Inattentive), Details Unknown","Inattention (Inattentive), Details Unknown",Not Reported
126,Texas,920002,92,2,Striking From The Right,Not Distracted,Not Distracted,Not Reported
127,Texas,930001,93,1,Drive Off Road,Not Distracted,Not Distracted,Not Reported
128,Texas,940001,94,1,Pedestrian/ Animal,Unknown If Distracted,Unknown If Distracted,Unknown
129,Texas,950001,95,1,Pedestrian/ Animal,Not Distracted,Not Distracted,Not Reported
130,Texas,960001,96,1,Lateral Move (Left/Right),Not Distracted,Not Distracted,Not Reported
131,Texas,960002,96,2,Lateral Move (Going Straight),Not Distracted,Not Distracted,Not Reported
